what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1465444312724
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1465444312755
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1465444312880
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1465444312880
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1465444312895
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1465444312958
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1465444312958
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1465444313051
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1465444313051
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1465444313285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465444323051
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465444328246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465444330602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465444333597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465444336904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465444338761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465444367325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1465444370117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465444383455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465444386872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465444392894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465444401006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465444410709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465444411864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465444425342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1465444429211
